Period Ending,Country,Country Code,Content Removal Requests,Percentage of removal requests fully or partially complied with,Items Requested To Be Removed
12/31/2009,Armenia,AM,<10,0,
12/31/2009,Argentina,AR,42,88,
12/31/2009,Austria,AT,<10,60,
12/31/2009,Australia,AU,17,53,
12/31/2009,Belgium,BE,<10,0,
12/31/2009,Brazil,BR,291,82,
12/31/2009,Canada,CA,16,44,
12/31/2009,Switzerland,CH,<10,89,
12/31/2009,Colombia,CO,<10,0,
12/31/2009,Germany,DE,188,94,
12/31/2009,Estonia,EE,<10,100,
12/31/2009,Spain,ES,32,53,
12/31/2009,Finland,FI,<10,50,
12/31/2009,France,FR,<10,67,
12/31/2009,United Kingdom,GB,59,76,
12/31/2009,Indonesia,ID,<10,100,
12/31/2009,Ireland,IE,<10,50,
12/31/2009,Israel,IL,<10,20,
12/31/2009,India,IN,142,77,
12/31/2009,Italy,IT,57,75,
12/31/2009,Japan,JP,<10,50,
12/31/2009,Cambodia,KH,<10,0,
12/31/2009,South Korea,KR,64,89,
12/31/2009,Liechtenstein,LI,<10,100,
12/31/2009,Lithuania,LT,<10,0,
12/31/2009,Macedonia [FYROM],MK,<10,0,
12/31/2009,Malta,MT,<10,100,
12/31/2009,Mexico,MX,<10,33,
12/31/2009,Malaysia,MY,<10,0,
12/31/2009,Netherlands,NL,<10,80,
12/31/2009,Norway,NO,<10,75,
12/31/2009,New Zealand,NZ,<10,0,
12/31/2009,Peru,PE,<10,0,
12/31/2009,Pakistan,PK,<10,0,
12/31/2009,Russia,RU,<10,100,
12/31/2009,Sweden,SE,<10,0,
12/31/2009,Singapore,SG,<10,50,
12/31/2009,Slovenia,SI,<10,100,
12/31/2009,Thailand,TH,<10,100,
12/31/2009,Turkey,TR,<10,67,
12/31/2009,Taiwan,TW,<10,50,
12/31/2009,United States,US,123,80,
12/31/2009,China,CN,?,?,
06/30/2010,Argentina,AR,12,83,75
06/30/2010,Austria,AT,2,100,143
06/30/2010,Australia,AU,14,93,639
06/30/2010,Belgium,BE,<10,100,<10
06/30/2010,Brazil,BR,398,68,19806
06/30/2010,Canada,CA,<10,88,<10
06/30/2010,Switzerland,CH,5,80,33
06/30/2010,Cyprus,CY,<10,0,<10
06/30/2010,Germany,DE,124,94,1407
06/30/2010,Spain,ES,16,94,18
