country_code,country,political_score,political_description,social_score,social_description,tools_score,tools_description,conflict/security_score,conflict_security_description,transparency,consistency,testing_date,url
AE,United Arab Emirates,3,substantial,4,pervasive,4,pervasive,2,selective,Medium,High,2009,http://opennet.net/research/profiles/uae
AF,Afghanistan,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2007,http://opennet.net/research/profiles/afghanistan
AM,Armenia,3,substantial,2,selective,2,selective,2,selective,Low,Medium,2008,http://opennet.net/research/profiles/armenia
AU,Australia,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/australia-and-new-zealand
AZ,Azerbaijan,2,selective,2,selective,0,no evidence,0,no evidence,Low,Low,2008,http://opennet.net/research/profiles/azerbaijan
BD,Bangladesh,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/regions/asia
BH,Bahrain,4,pervasive,4,pervasive,3,substantial,2,selective,Medium,High,2009,http://opennet.net/research/profiles/bahrain
BY,Belarus,2,selective,2,selective,2,selective,2,selective,Low,Low,2008,http://opennet.net/research/profiles/belarus
CA,Canada,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/namerica
CN,China,4,pervasive,3,substantial,3,substantial,4,pervasive,Low,High,2011,http://opennet.net/research/profiles/china
CO,Colombia,0,no evidence,2,selective,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/regions/la
DE,Germany,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2008,http://opennet.net/research/profiles/germany
DK,Denmark,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
DZ,Algeria,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/algeria
EG,Egypt,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/profiles/egypt
ET,Ethiopia,3,substantial,2,selective,2,selective,2,selective,Low,Low,2011,http://opennet.net/research/profiles/ethiopia
FI,Finland,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
FR,France,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/france
GB,United Kingdom,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2010,http://opennet.net/research/profiles/united-kingdom
GE,Georgia,2,selective,0,no evidence,0,no evidence,2,selective,Low,Low,2008,http://opennet.net/research/profiles/georgia
GT,Guatemala,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/regions/la
