1	China	     1,330,141,295
2	India	     1,173,108,018
3	United States	      310,232,863
4	Indonesia	      242,968,342
5	Brazil	      201,103,330
6	Pakistan	      177,276,594
7	Bangladesh	      158,065,841
8	Nigeria	      152,217,341
9	Russia	      139,390,205
10	Japan	      126,804,433
11	Mexico	      112,468,855
12	Philippines	       99,900,177
13	Vietnam	       89,571,130
14	Ethiopia	       88,013,491
15	Germany	       82,282,988
16	Egypt	       80,471,869
17	Turkey	       77,804,122
18	Congo, Democratic Republic of the	       70,916,439
19	Iran	       67,037,517
20	Thailand	       66,404,688
21	France	       64,057,792
22	United Kingdom	       61,284,806
23	Italy	       58,090,681
24	Burma	       53,414,374
25	South Africa	       49,109,107
26	Korea, South	       48,636,068
27	Ukraine	       45,415,596
28	Colombia	       44,205,293
29	Sudan	       41,980,182
30	Tanzania	       41,892,895
31	Argentina	       41,343,201
32	Spain	       40,548,753
33	Kenya	       40,046,566
34	Poland	       38,463,689
35	Algeria	       34,586,184
36	Canada	       33,759,742
37	Uganda	       33,398,682
38	Morocco	       31,627,428
39	Peru	       29,907,003
40	Iraq	       29,671,605
41	Saudi Arabia	       29,207,277
42	Afghanistan	       29,121,286
43	Nepal	       28,951,852
44	Uzbekistan	       27,865,738
45	Venezuela	       27,223,228
46	Malaysia	       26,160,256
47	Ghana	       24,339,838
48	Yemen	       23,495,361
49	Taiwan	       23,024,956
50	Korea, North	       22,757,275
51	Syria	       22,198,110
52	Romania	       22,181,287
53	Mozambique	       22,061,451
54	Australia	       21,515,754
55	Sri Lanka	       21,513,990
56	Madagascar	       21,281,844
57	Cote d'Ivoire	       21,058,798
58	Cameroon	       19,294,149
59	Netherlands	       16,783,092
60	Chile	       16,746,491
61	Burkina Faso	       16,241,811
62	Niger	       15,878,271
63	Kazakhstan	       15,460,484
64	Malawi	       15,447,500
65	Ecuador	       14,790,608
66	Cambodia	       14,753,320
67	Senegal	       14,086,103
68	Mali	       13,796,354
69	Guatemala	       13,550,440
70	Angola	       13,068,161
71	Zambia	       12,056,923
72	Zimbabwe	       11,651,858
73	Cuba	       11,477,459
74	Rwanda	       11,055,976
75	Greece	       10,749,943
76	Portugal	       10,735,765
77	Tunisia	       10,589,025
78	Chad	       10,543,464
79	Belgium	       10,423,493
80	Guinea	       10,324,025
81	Czech Republic	       10,201,707
82	Somalia	       10,112,453
83	Bolivia	        9,947,418
84	Hungary	        9,880,059
85	Burundi	        9,863,117
86	Dominican Republic	        9,794,487
87	Belarus	        9,612,632
88	Haiti	        9,203,083
89	Sweden	        9,074,055
90	Benin	        9,056,010
91	Azerbaijan	        8,303,512
92	Austria	        8,214,160
93	Honduras	        7,989,415
94	Switzerland	        7,623,438
95	Tajikistan	        7,487,489
96	Israel	        7,353,985
97	Serbia	        7,344,847
98	Bulgaria	        7,148,785
99	Hong Kong	        7,089,705
100	Laos	        6,993,767
101	Libya	        6,461,454
102	Jordan	        6,407,085
103	Paraguay	        6,375,830
104	Togo	        6,199,841
105	Papua New Guinea	        6,064,515
106	El Salvador	        6,052,064
107	Nicaragua	        5,995,928
108	Eritrea	        5,792,984
109	Denmark	        5,515,575
110	Kyrgyzstan	        5,508,626
111	Slovakia	        5,470,306
112	Finland	        5,255,068
113	Sierra Leone	        5,245,695
114	United Arab Emirates	        4,975,593
115	Turkmenistan	        4,940,916
116	Central African Republic	        4,844,927
117	Singapore	        4,701,069
118	Norway	        4,676,305
119	Bosnia and Herzegovina	        4,621,598
120	Georgia	        4,600,825
121	Costa Rica	        4,516,220
122	Croatia	        4,486,881
123	Moldova	        4,317,483
124	New Zealand	        4,252,277
125	Ireland	        4,250,163
126	Congo, Republic of the	        4,125,916
127	Lebanon	        4,125,247
128	Puerto Rico	        3,977,663
129	Liberia	        3,685,076
130	Albania	        3,659,616
131	Lithuania	        3,545,319
132	Uruguay	        3,510,386
133	Panama	        3,410,676
134	Mauritania	        3,205,060
135	Mongolia	        3,086,918
136	Oman	        2,967,717
137	Armenia	        2,966,802
138	Jamaica	        2,847,232
139	Kuwait	        2,789,132
140	West Bank	        2,514,845
141	Latvia	        2,217,969
142	Namibia	        2,128,471
143	Macedonia	        2,072,086
144	Botswana	        2,029,307
145	Slovenia	        2,003,136
146	Lesotho	        1,919,552
147	Gambia, The	        1,824,158
148	Kosovo	        1,815,048
149	Gaza Strip	        1,604,238
150	Guinea-Bissau	        1,565,126
151	Gabon	        1,545,255
152	Swaziland	        1,354,051
153	Mauritius	        1,294,104
154	Estonia	        1,291,170
155	Trinidad and Tobago	        1,228,691
156	Timor-Leste	        1,154,625
157	Cyprus	        1,102,677
158	Fiji	         957,780
159	Qatar	         840,926
160	Comoros	         773,407
161	Guyana	         748,486
162	Djibouti	         740,528
163	Bahrain	         738,004
164	Bhutan	         699,847
165	Montenegro	         666,730
166	Equatorial Guinea	         650,702
167	Solomon Islands	         609,794
168	Macau	         567,957
169	Cape Verde	         508,659
170	Luxembourg	         497,538
171	Western Sahara	         491,519
172	Suriname	         486,618
173	Malta	         406,771
174	Maldives	         395,650
175	Brunei	         395,027
176	Belize	         314,522
177	Bahamas, The	         310,426
178	Iceland	         308,910
179	French Polynesia	         291,000
180	Barbados	         285,653
181	Mayotte	         231,139
182	New Caledonia	         229,993
183	Netherlands Antilles	         228,693
184	Vanuatu	         221,552
185	Samoa	         192,001
186	Sao Tome and Principe	         175,808
187	Saint Lucia	         160,922
188	Tonga	         122,580
189	Virgin Islands	         109,775
190	Grenada	         107,818
191	Micronesia, Federated States of	         107,154
192	Aruba	         104,589
193	Saint Vincent and the Grenadines	         104,217
194	Kiribati	          99,482
195	Jersey	          91,812
196	Seychelles	          88,340
197	Antigua and Barbuda	          86,754
198	Andorra	          84,525
199	Isle of Man	          76,913
200	Dominica	          72,813
201	Bermuda	          68,268
202	American Samoa	          66,432
203	Marshall Islands	          65,859
204	Guernsey	          65,632
205	Greenland	          57,637
206	Cayman Islands	          50,209
207	Saint Kitts and Nevis	          49,898
208	Faroe Islands	          49,057
209	Northern Mariana Islands	          48,317
210	Liechtenstein	          35,002
211	San Marino	          31,477
212	Monaco	          30,586
213	Saint Martin	          30,235
214	Gibraltar	          28,877
215	British Virgin Islands	          24,939
216	Turks and Caicos Islands	          23,528
217	Palau	          20,879
218	Akrotiri	          15,700
219	Dhekelia	          15,700
220	Wallis and Futuna	          15,343
221	Anguilla	          14,764
222	Nauru	          14,264
223	Cook Islands	          11,488
224	Tuvalu	          10,472
225	Saint Helena, Ascension, and Tristan da Cunha	           7,670
226	Saint Barthelemy	           7,406
227	Saint Pierre and Miquelon	           6,010
228	Montserrat	           5,118
229	Falkland Islands (Islas Malvinas)	           3,140
230	Norfolk Island	           2,155
231	Svalbard	           2,067
232	Christmas Island	           1,402
233	Tokelau	           1,400
234	Niue	           1,354
235	Holy See (Vatican City)	            829
236	Cocos (Keeling) Islands	            596
237	Pitcairn Islands	             48
